l;Destination;Channel;AdvanceDays;TicketWeekday;DepartureWeekday;Fare;miles
DTW;ATL;Offline;73;Tuesday;Friday;90.54333333;596
DTW;ATL;Expedia;24;Monday;Thursday;124.65;596
DTW;ATL;Travelocity;5;Sunday;Friday;166.51;596
DTW;ATL;Offline;6;Monday;Sunday;168.6976;596
DTW;ATL;Offline;24;Monday;Thursday;158.04;596
DTW;ATL;Offline;10;Wednesday;Saturday;112.2257143;596
DTW;ATL;Offline;12;Thursday;Tuesday;133.2158125;596
DTW;ATL;Offline;13;Thursday;Wednesday;177.5334091;596
DTW;ATL;Offline;3;Thursday;Sunday;175.8314286;596
DTW;ATL;Orbitz;21;Tuesday;Tuesday;73.48;596
DTW;ATL;Offline;143;Wednesday;Saturday;92.09;596
DTW;ATL;Expedia;19;Saturday;Thursday;124.65;596
DTW;ATL;Travelocity;21;Friday;Friday;138.6;596
DTW;ATL;Offline;12;Sunday;Friday;142.43125;596
DTW;ATL;Online Other;6;Monday;Sunday;166.51;596
DTW;ATL;Online Other;11;Monday;Friday;290.72;596
DTW;ATL;Orbitz;12;Tuesday;Sunday;138.6;596
DTW;ATL;Online Other;12;Thursday;Tuesday;107.125;596
DTW;ATL;Offline;49;Monday;Monday;121.25;596
DTW;ATL;Travelocity;12;Tuesday;Sunday;143.26;596
DTW;ATL;Offline;48;Wednesday;Tuesday;69.31666667;596
DTW;ATL;Offline;25;Tuesday;Saturday;113.02;596
DTW;ATL;Offline;61;Friday;Wednesday;99.84333333;596
DTW;ATL;Offline;28;Friday;Friday;147.59;596
DTW;ATL;Travelocity;6;Monday;Sunday;67.91;596
DTW;ATL;Orbitz;13;Thursday;Wednesday;147.91;596
DTW;ATL;Travelocity;10;Wednesday;Saturday;73.49;596
DTW;ATL;Offline;19;Tuesday;Sunday;156.8755556;596
DTW;ATL;Travelocity;12;Thursday;Tuesday;85.12;596
DTW;ATL;Travelocity;12;Sunday;Friday;117.675;596
DTW;ATL;Travelocity;13;Thursday;Wednesday;147.91;596
DTW;ATL;Offline;4;Friday;Tuesday;170.3942105;596
DTW;ATL;Offline;13;Monday;Sunday;165.3642857;596
DTW;ATL;Offline;183;Thursday;Friday;96.74;596
DTW;ATL;Expedia;15;Thursday;Friday;280.48;596
DTW;ATL;Offline;15;Sunday;Monday;107.78;596
DTW;ATL;Offline;19;Thursday;Tuesday;89.489;596
DTW;ATL;Offline;19;Sunday;Friday;122.15;596
DTW;ATL;Offline;15;Wednesday;Thursday;153.4931579;596
DTW;ATL;Offline;31;Monday;Thursday;158.45;596
DTW;ATL;Offline;20;Thursday;Wednesday;122.245;596
DTW;ATL;Offline;48;Thursday;Wednesday;81.86;596
DTW;ATL;Offline;56;Monday;Monday;410.93;596
DTW;ATL;Online Other;13;Monday;Sunday;140.9033333;596
DTW;ATL;Offline;68;Friday;Wednesday;143.26;596
DTW;ATL;Offline;5;Monday;Saturday;153.17;596
DTW;ATL;Orbitz;7;Wednesday;Wednesday;141.82;596
DTW;ATL;Offline;32;Tuesday;Saturday;137.7333333;596
DTW;ATL;Online Other;19;Thursday;Tuesday;73.48;596
DTW;ATL;Online Other;2;Monday;Wednesday;221.7066667;596
DTW;ATL;Offline;104;Tuesday;Monday;82.79;596
DTW;ATL;Online Other;18;Monday;Friday;123.49;596
DTW;ATL;Orbitz;19;Thursday;Tuesday;82.79;596
