,l,Destination,Channel,AdvanceDays,TicketWeekday,DepartureWeekday,Fare,miles
95,DTW,ATL,Expedia,69,Saturday,Friday,96.74,596
96,DTW,ATL,Expedia,3,Friday,Monday,366.2533333,596
97,DTW,ATL,Expedia,12,Tuesday,Sunday,166.51,596
98,DTW,ATL,Expedia,63,Wednesday,Wednesday,87.44,596
99,DTW,ATL,Expedia,21,Thursday,Thursday,106.04,596
100,DTW,ATL,Expedia,48,Wednesday,Tuesday,68.84,596
101,DTW,ATL,Expedia,8,Tuesday,Wednesday,73.49,596
102,DTW,ATL,Expedia,52,Tuesday,Friday,96.74,596
103,DTW,ATL,Expedia,5,Thursday,Tuesday,133.95,596
104,DTW,ATL,Expedia,14,Thursday,Thursday,76.74333333,596
105,DTW,ATL,Expedia,3,Sunday,Wednesday,159.36,596
106,DTW,ATL,Expedia,39,Friday,Tuesday,78.14,596
107,DTW,ATL,Expedia,34,Thursday,Wednesday,138.6,596
108,DTW,ATL,Expedia,89,Monday,Saturday,82.79,596
109,DTW,ATL,Expedia,108,Wednesday,Saturday,96.74,596
110,DTW,ATL,Expedia,51,Tuesday,Thursday,73.49,596
111,DTW,ATL,Expedia,15,Friday,Saturday,161.86,596
112,DTW,ATL,Expedia,12,Wednesday,Monday,193.26,596
113,DTW,ATL,Expedia,59,Friday,Monday,87.44,596
114,DTW,ATL,Expedia,3,Thursday,Sunday,175.9566667,596
115,DTW,ATL,Expedia,13,Thursday,Wednesday,73.49,596
116,DTW,ATL,Expedia,7,Thursday,Thursday,112.4425,596
117,DTW,ATL,Expedia,13,Friday,Thursday,143.26,596
118,DTW,ATL,Expedia,4,Friday,Tuesday,133.95,596
119,DTW,ATL,Expedia,20,Tuesday,Monday,73.48,596
120,DTW,ATL,Expedia,17,Tuesday,Friday,124.65,596
121,DTW,ATL,Expedia,12,Monday,Saturday,161.86,596
122,DTW,ATL,Expedia,8,Monday,Tuesday,73.48,596
123,DTW,ATL,Expedia,5,Monday,Saturday,133.95,596
124,DTW,ATL,Expedia,1,Sunday,Monday,211.635,596
125,DTW,ATL,Expedia,16,Wednesday,Friday,143.255,596
126,DTW,ATL,Expedia,43,Wednesday,Thursday,78.14,596
127,DTW,ATL,Expedia,33,Monday,Saturday,87.44,596
128,DTW,ATL,Expedia,10,Sunday,Wednesday,106.05,596
129,DTW,ATL,Expedia,7,Monday,Monday,108.37,596
130,DTW,ATL,Expedia,6,Thursday,Wednesday,151.715,596
131,DTW,ATL,Expedia,126,Wednesday,Wednesday,92.09,596
132,DTW,ATL,Expedia,51,Thursday,Saturday,87.44,596
133,DTW,ATL,Expedia,1,Tuesday,Wednesday,177.3666667,596
